	CITY	STATE	OLD	BLACK%	ASIAN%	HISP%	DEATH	POP_CH	POPDEN	CRIME	INCOME	UNEMP	POVERT	BORN_F	LANG	FAMIL1	SCHOOL	DEGREE	ASSIST	GROSS	CONDOM	LAB_F	MANLAB	TRANSP	TEMPER	PRECEP
14	BALTIMOR	MD	13,7	59,2	1,1	1	18	-7,7	8986	11371	24045	9,4	21,9	3,2	6,5	46,1	85,5	15,5	16,4	413	2,2	55	12,3	22	77	40,8
15	JACKSONV	FL	10,6	25,2	1,9	2,6	11,3	22,2	871	10591	28305	6,7	13	3,4	6,5	23,8	87,5	17,9	6,5	429	2,8	60,1	9,4	2,7	81,6	51,3
16	COLUMBUS	OH	9,2	22,6	2,4	1,1	14,2	13,8	3368	10145	26651	4,8	17,2	3,7	6,3	29,1	88,4	24,6	9,4	422	5,8	63,4	11,6	4,7	73,2	38,1
17	MILWAUKE	WI	12,4	30,5	1,9	6,3	12,1	-3	6421	9044	23627	5,7	22,2	4,7	10,9	37,4	80,6	14,8	15,3	418	2,8	57,9	22,2	11	73,6	31,1
18	MEMPHIS	TN	12,2	54,8	0,8	0,7	17,6	-5,6	2384	10184	22674	5,9	23	1,4	3,8	38,1	89,3	17,5	11,8	373	2,7	57,9	12,5	4,7	82,6	52,1
19	WASHINGT	DC	12,8	65,8	1,8	5,4	23,2	-8,3	9531	10768	30727	7,7	16,9	9,7	12,5	47,2	83,9	33,3	8,9	479	10,4	61,9	4,3	36,6	80	38,6
20	BOSTON	MA	11,5	25,6	5,3	10,8	13,9	-2	11398	10837	29180	8,4	18,7	20	25,6	39,6	77,2	30	11,9	625	11,6	60,9	9,9	31,5	73,5	41,5
21	EL_PASO	TX	8,7	3,4	1,2	69	8,2	27,9	2216	9630	23460	10,6	25,3	23,4	66,7	24,6	94,6	16,2	9,7	349	2,2	50,3	16,7	3,1	82,3	8,8
22	SEATTLE	WA	15,2	10,1	11,8	3,6	12,4	5,2	6193	12248	29353	5,1	12,4	13,1	15,4	23,8	78,6	37,9	6,4	463	4,9	62,7	13,3	15,9	65,2	37,2
23	CLEVELAN	OH	14	46,6	1	4,6	17	-12,4	6526	8945	17822	8,5	28,7	4,1	11,1	43,7	78,7	8,1	21,9	322	1	48,1	23,1	14,1	71,9	36,6
24	NASHVILL	TN	11,4	24,3	1,4	0,9	10,7	8,6	1046	8665	27821	4,7	13,4	2,5	4,4	27,4	84,7	23,6	6,5	432	7,8	62,6	12,6	2,9	79,3	47,3
25	AUSTIN	TX	7,4	12,4	3	23	8,4	42,3	2260	11295	25414	5	17,9	8,5	22,4	25,5	93,4	34,4	4,5	410	5,8	65,6	11,2	5,1	84,5	31,9
26	NEW_ORLE	LA	13	61,9	1,9	3,5	12,7	-12,2	2711	10830	18477	6,1	31,6	4,2	7,8	44	79,7	22,4	14,8	379	2,2	51,8	6,8	16,9	81,9	61,9
